metabolite	name	molecular_weight	C_number	N_number	sbo	kegg.compound	chebi	hmdb	lipidmaps	biocyc	metanetx.chemical	inchikey	seed.compound	reactome	kegg.drug	kegg.glycan	reaction
id3acald_e	Indole 3 acetaldehyde C10H9NO	159.18456	10	1	SBO:0000247	C00637	['CHEBI:11477', 'CHEBI:14445', 'CHEBI:18086', 'CHEBI:24798', 'CHEBI:5902']	HMDB01190		META:INDOLE_ACETALDEHYDE	MNXM518	WHOOUMGHGSPMGR-UHFFFAOYSA-N	cpd00486				EX_id3acald_e
ind3ac_e	Indole 3 acetate C10H8NO2	174.17602	10	1	SBO:0000247	C00954	['CHEBI:14447', 'CHEBI:14452', 'CHEBI:16411', 'CHEBI:24801', 'CHEBI:24802', 'CHEBI:30854', 'CHEBI:5905']	HMDB00197		META:INDOLE_ACETATE_AUXIN	MNXM383	SEOVTRFCIGRIMH-UHFFFAOYSA-M	cpd00703				EX_ind3ac_e
indole_e	Indole	117.14788	8	1	SBO:0000247	C00463	['CHEBI:14444', 'CHEBI:16881', 'CHEBI:24794', 'CHEBI:35579', 'CHEBI:35581', 'CHEBI:43537', 'CHEBI:5900']	HMDB00738		META:INDOLE	MNXM377	SIKJAQJRHWYJAI-UHFFFAOYSA-N	cpd00359	R-ALL-216547			EX_indole_e
inost_e	Myo-Inositol	180.15588	6	0	SBO:0000247	['C00137', 'C19891']	['CHEBI:10601', 'CHEBI:12826', 'CHEBI:12831', 'CHEBI:17268', 'CHEBI:19183', 'CHEBI:24848', 'CHEBI:25451', 'CHEBI:27372', 'CHEBI:4200', 'CHEBI:43559', 'CHEBI:52772']	['HMDB00211', 'HMDB02256', 'HMDB34220']		['META:CPD-8052', 'META:MYO-INOSITOL']	MNXM127	CDAISMWEOUEBRE-GPIVLXJGSA-N	['cpd00121', 'cpd21131']	['R-ALL-426910', 'R-ALL-429130']	D08079		EX_inost_e
lcts_e	Lactose C12H22O11	342.29648000000003	12	0	SBO:0000247	['C00243', 'C01970']	['CHEBI:10296', 'CHEBI:10380', 'CHEBI:10428', 'CHEBI:14497', 'CHEBI:17716', 'CHEBI:22460', 'CHEBI:22760', 'CHEBI:22846', 'CHEBI:25005', 'CHEBI:27755', 'CHEBI:27968', 'CHEBI:28577', 'CHEBI:35463', 'CHEBI:36218', 'CHEBI:43665', 'CHEBI:613009']	HMDB41627		['META:CPD-15971', 'META:CPD-15972']	MNXM362	GUBGYTABKSRVRQ-QKKXKWKRSA-N	['cpd00208', 'cpd01354', 'cpd03809']		D00046	G10504	EX_lcts_e
leuleu_e	Leucylleucine	244.33056	12	2	SBO:0000247	C11332	['CHEBI:6418', 'CHEBI:73531']	HMDB28933		META:L-LEUCYL-L-LEUCINE	MNXM157161	LCPYQJIKPJDLLB-UHFFFAOYSA-N	cpd08189				EX_leuleu_e
lys__D_e	D-Lysine	147.1955	6	2	SBO:0000247	C00739	['CHEBI:12994', 'CHEBI:16855', 'CHEBI:21046', 'CHEBI:32556', 'CHEBI:32557', 'CHEBI:32558', 'CHEBI:4203', 'CHEBI:42062']			META:CPD-219	MNXM975	KDXKERNSBIXSRK-RXMQYKEDSA-O	cpd00549				EX_lys__D_e
malt_e	Maltose C12H22O11	342.29648000000003	12	0	SBO:0000247	['C00208', 'C00897']	['CHEBI:10300', 'CHEBI:12340', 'CHEBI:14568', 'CHEBI:17306', 'CHEBI:18167', 'CHEBI:22463', 'CHEBI:25144', 'CHEBI:43893', 'CHEBI:6668']			['META:ALPHA-MALTOSE', 'META:MALTOSE']	MNXM165	GUBGYTABKSRVRQ-PICCSMPSSA-N	['cpd00179', 'cpd00665']	['R-ALL-188986', 'R-ALL-868706']	D00044	G00275	EX_malt_e
malthp_e	Maltoheptaose	1152.99948	42	0	SBO:0000247		CHEBI:62010	HMDB13000		META:CPD0-1133	MNXM61025	ZHZITDGOAFCURV-VVTKTIMZSA-N	cpd15494			G00689	EX_malthp_e
malthx_e	Maltohexaose	990.85888	36	0	SBO:0000247	C01936	['CHEBI:25141', 'CHEBI:27445', 'CHEBI:61953', 'CHEBI:6667']	HMDB12253		META:MALTOHEXAOSE	MNXM1317	OCIBBXPLUVYKCH-QXVNYKTNSA-N	cpd01329			G00755	EX_malthx_e
malttr_e	Maltotriose C18H32O16	504.43708	18	0	SBO:0000247	C01835	['CHEBI:25146', 'CHEBI:27931', 'CHEBI:43937', 'CHEBI:61993', 'CHEBI:6672']	HMDB01262		META:MALTOTRIOSE	MNXM468	FYGDTMLNYKFZSV-PXXRMHSHSA-N	cpd01262	R-ALL-191103			EX_malttr_e
met_L_ala__L_e	Met L ala L C8H16N2O3S	219.2813	8	2	SBO:0000247						MNXM8868		cpd11590				EX_met_L_ala__L_e
met__D_e	D-Methionine	149.21134	5	1	SBO:0000247	C00855	['CHEBI:13005', 'CHEBI:16867', 'CHEBI:21065', 'CHEBI:32637', 'CHEBI:32638', 'CHEBI:4215', 'CHEBI:44071', 'CHEBI:57932']			META:CPD-218	MNXM1275	FFEARJCKVFRZRR-SCSAIBSYSA-N	cpd00637				EX_met__D_e
ocdcea_e	Octadecenoate (n-C18:1)	281.45342	18	0	SBO:0000247	C00712	['CHEBI:104361', 'CHEBI:14684', 'CHEBI:16196', 'CHEBI:25663', 'CHEBI:25664', 'CHEBI:30823', 'CHEBI:44741', 'CHEBI:7741']	['HMDB00207', 'HMDB02066']	['LMFA01030002', 'LMFA01030763', 'LMFA01030810']	META:OLEATE-CPD	MNXM306	ZQPPMHVWECSIRJ-KTKRTIGZSA-M	cpd00536		D02315		EX_ocdcea_e
orn__D_e	D-Ornithine	133.16892	5	2	SBO:0000247	C00515	['CHEBI:13006', 'CHEBI:16176', 'CHEBI:21066', 'CHEBI:4220', 'CHEBI:57668']	HMDB03374		META:CPD-217	MNXM1148	AHLPHDHHMVZTML-SCSAIBSYSA-O	cpd00404				EX_orn__D_e
orn_e	Ornithine	133.16892	5	2	SBO:0000247	['C00077', 'C01602']	['CHEBI:11448', 'CHEBI:13148', 'CHEBI:15729', 'CHEBI:18257', 'CHEBI:19370', 'CHEBI:21367', 'CHEBI:32964', 'CHEBI:44667', 'CHEBI:46911', 'CHEBI:46912', 'CHEBI:46913', 'CHEBI:46914', 'CHEBI:6280', 'CHEBI:7784']	['HMDB00214', 'HMDB00818', 'HMDB04984', 'HMDB32455', 'HMDB62654', 'HMDB62718']	LMFA01100057	META:L-ORNITHINE	MNXM89689	AHLPHDHHMVZTML-BYPYZUCNSA-O	['cpd00064', 'cpd19016']	['R-ALL-113585', 'R-ALL-113586', 'R-ALL-29498']	D08302		EX_orn_e
oxa_e	Oxalate	88.019	2	0	SBO:0000247	C00209	['CHEBI:132952', 'CHEBI:14702', 'CHEBI:16995', 'CHEBI:25729', 'CHEBI:25730', 'CHEBI:30623', 'CHEBI:44583', 'CHEBI:44820', 'CHEBI:46904', 'CHEBI:7811']	HMDB02329		META:OXALATE	MNXM291	MUBZPKHOEPUJKR-UHFFFAOYSA-L	cpd00180	R-ALL-389819			EX_oxa_e
pea_e	Phenylethyl alcohol	121.15646	8	0	SBO:0000247												EX_pea_e
phedca_e	10 Phenyldecanoic acid	239.2891	16	0	SBO:0000247												EX_phedca_e
phenona_e	9 Phenylnonanoic acid	225.26252000000002	15	0	SBO:0000247												EX_phenona_e
ppa_e	Propionate (n-C3:0)	73.0706	3	0	SBO:0000247						MNXM162260						EX_ppa_e
ppoh_e	1-Propanol	60.09502	3	0	SBO:0000247	C05979	['CHEBI:26278', 'CHEBI:28831', 'CHEBI:44960', 'CHEBI:8472']	HMDB00820	LMFA05000101	META:PROPANOL	MNXM6396	BDERNNFJNOPAEC-UHFFFAOYSA-N	cpd03559				EX_ppoh_e
progly_e	L-Prolinylglycine	172.18178	7	2	SBO:0000247		['CHEBI:61695', 'CHEBI:61696', 'CHEBI:73594']			META:CPD0-2182	MNXM7481	RNKSNIBMTUYWSH-YFKPBYRVSA-N	cpd15551				EX_progly_e
pyovd_kt_e	Pyoverdine  P putida specific	752.72802	27	10	SBO:0000247												EX_pyovd_kt_e
rib__D_e	D-Ribose	150.1299	5	0	SBO:0000247	['C00121', 'C21057']	['CHEBI:13011', 'CHEBI:16988', 'CHEBI:21078', 'CHEBI:4233', 'CHEBI:46999', 'CHEBI:47006', 'CHEBI:47013']	HMDB00283		['META:D-Ribofuranose', 'META:D-Ribopyranose']	MNXM242	HMFHBZSHGGEWLO-SOOFDHNKSA-N	cpd00105				EX_rib__D_e
s_e	Sulfur	32.065	0	0	SBO:0000247	C00087	CHEBI:26833			META:Elemental-Sulfur	MNXM89	NINIDFKCEFEMDL-UHFFFAOYSA-N			D00024		EX_s_e
salc_e	Salicylate	137.1128	7	0	SBO:0000247	C00805	['CHEBI:15061', 'CHEBI:16914', 'CHEBI:26595', 'CHEBI:26597', 'CHEBI:30762', 'CHEBI:45521', 'CHEBI:9006']	HMDB01895		META:CPD-110	MNXM378	YGSDEFSMJLZEOE-UHFFFAOYSA-M	cpd00599	R-ALL-159559	D00097		EX_salc_e
salchs4_e	Salmochelin-S4	992.81974	42	3	SBO:0000247						MNXM145924						EX_salchs4_e
salchs4fe_e	Salmochelin-S4-Fe-III	1048.66474	42	3	SBO:0000247						MNXM146231						EX_salchs4fe_e
taur_e	Taurine C2H7NO3S	125.14688	2	1	SBO:0000247	C00245	['CHEBI:15195', 'CHEBI:15891', 'CHEBI:26852', 'CHEBI:32970', 'CHEBI:45877', 'CHEBI:507393', 'CHEBI:9406']	HMDB00251		META:TAURINE	MNXM282	XOAAWQZATWQOTB-UHFFFAOYSA-N	cpd00210	['R-ALL-159420', 'R-ALL-193463', 'R-ALL-194069']	D00047		EX_taur_e
tre_e	Trehalose	342.29648000000003	12	0	SBO:0000247	C01083	['CHEBI:10202', 'CHEBI:12281', 'CHEBI:12284', 'CHEBI:12287', 'CHEBI:15251', 'CHEBI:16551', 'CHEBI:22365', 'CHEBI:27082', 'CHEBI:46211']	HMDB00975		['META:CPD-15990', 'META:TREHALOSE']	MNXM198	HDTRYLNUVZCQOY-LIZSDCNHSA-N	cpd00794	['R-ALL-189078', 'R-ALL-868614']		G00293	EX_tre_e
udcpdp_e	Undecaprenyl diphosphate	925.2464219999999	55	0	SBO:0000247		['CHEBI:15284', 'CHEBI:17047', 'CHEBI:27192', 'CHEBI:53042', 'CHEBI:57995', 'CHEBI:9863']	HMDB01469	LMPR03030004	META:CPD-9649	MNXM5043	NTXGVHCCXVHYCL-RDQGWRCRSA-K	cpd25775				EX_udcpdp_e
udcpp_e	Undecaprenyl phosphate	846.274461	55	0	SBO:0000247	C00348	['CHEBI:15285', 'CHEBI:15286', 'CHEBI:16141', 'CHEBI:57654', 'CHEBI:9864']		LMPR03020006	META:UNDECAPRENYL-P	MNXM251	UFPHFKCTOZIAFY-RDQGWRCRSA-L	cpd00286				EX_udcpp_e
urate_e	Urate C5H4N4O3	168.11026	5	4	SBO:0000247	C00366	['CHEBI:15290', 'CHEBI:17775', 'CHEBI:27216', 'CHEBI:27226', 'CHEBI:30848', 'CHEBI:46455', 'CHEBI:46811', 'CHEBI:46814', 'CHEBI:46817', 'CHEBI:46818', 'CHEBI:46820', 'CHEBI:46821', 'CHEBI:46822', 'CHEBI:46823', 'CHEBI:46824', 'CHEBI:46825', 'CHEBI:46826', 'CHEBI:49051', 'CHEBI:9885']	HMDB00289		['META:CPD-15041', 'META:CPD-15332', 'META:URATE']	MNXM441	LEHOTFFKMJEONL-UHFFFAOYSA-N	cpd00300	['R-ALL-30034', 'R-ALL-429056']			EX_urate_e
xan_e	Xanthine	152.11086	5	4	SBO:0000247	C00385	['CHEBI:10059', 'CHEBI:15318', 'CHEBI:17712', 'CHEBI:27317', 'CHEBI:46377', 'CHEBI:48517']	HMDB00292		META:XANTHINE	MNXM174	LRFVTYWOQMYALW-UHFFFAOYSA-N	cpd00309	R-ALL-30064			EX_xan_e
xyl__D_e	D-Xylose	150.1299	5	0	SBO:0000247	C00181	['CHEBI:53455', 'CHEBI:65327']	['HMDB00098', 'HMDB03763']		META:D-Xylopyranose	MNXM348	SRBFZHDQGSBBOR-IOVATXLUSA-N	cpd00154	R-ALL-2090063	D06346		EX_xyl__D_e
xylu__L_e	L-Xylulose	150.1299	5	0	SBO:0000247	C00312	['CHEBI:13190', 'CHEBI:17399', 'CHEBI:21425', 'CHEBI:27353', 'CHEBI:6326']	['HMDB00751', 'HMDB02245']		META:L-XYLULOSE	MNXM1282	ZAQJHHRNXZUBTE-WVZVXSGGSA-N	cpd00261	R-ALL-5660036			EX_xylu__L_e
14glucan_e	1,4-alpha-D-glucan	990.85888	36	0	SBO:0000247					META:1-4-alpha-D-Glucan	MNXM2905		cpd21754				EX_14glucan_e
2ddglcn_e	2-Dehydro-3-deoxy-D-gluconate	177.13206	6	0	SBO:0000247	C00204	['CHEBI:1059', 'CHEBI:11550', 'CHEBI:17032', 'CHEBI:19530', 'CHEBI:57990']		LMFA01050475	META:2-DEHYDRO-3-DEOXY-D-GLUCONATE	MNXM440	WPAMZTWLKIDIOP-WVZVXSGGSA-M	cpd00176				EX_2ddglcn_e
2m35mdntha_e	N  2 methyl 3 5 dinitrophenyl  4 methyl 3 5 dinitroaniline	15.01464	0	1	SBO:0000247												EX_2m35mdntha_e
35dnta_e	N N bis 3 5 dinitrotolyl  amine	15.01464	0	1	SBO:0000247												EX_35dnta_e
4abutn_e	4-Aminobutanal	88.1283	4	1	SBO:0000247	C00555	['CHEBI:11960', 'CHEBI:17769', 'CHEBI:1785', 'CHEBI:20316', 'CHEBI:58264']	['HMDB01080', 'HMDB60247']		META:4-AMINO-BUTYRALDEHYDE	MNXM422	DZQLQEYLEYWJIB-UHFFFAOYSA-O	['cpd00434', 'cpd12219']				EX_4abutn_e
4hbald_e	4-Hydroxybenzaldehyde	122.12134	7	0	SBO:0000247	C00633	['CHEBI:12002', 'CHEBI:17597', 'CHEBI:1857', 'CHEBI:20396', 'CHEBI:43009']	HMDB11718		META:4-HYDROXYBENZALDEHYDE	MNXM577	RGHHSNMVTDWUBI-UHFFFAOYSA-N	cpd00484				EX_4hbald_e
4hbz_e	4-Hydroxybenzoate	137.1128	7	0	SBO:0000247	C00156	['CHEBI:12003', 'CHEBI:17879', 'CHEBI:1858', 'CHEBI:20397', 'CHEBI:20398', 'CHEBI:30763', 'CHEBI:44949']	HMDB00500		META:4-hydroxybenzoate	MNXM164	FJKROLUGYXJWQN-UHFFFAOYSA-M	cpd00136	R-ALL-2162213			EX_4hbz_e
5drib_e	5'-deoxyribose	134.13049999999998	5	0	SBO:0000247		CHEBI:62012			META:CPD0-2167	MNXM4391	WDRISBUVHBMJEF-MROZADKFSA-N	['cpd15380', 'cpd17002']				EX_5drib_e
LalaDgluMdap_e	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate	389.38100000000003	15	4	SBO:0000247						MNXM90242		cpd15386				EX_LalaDgluMdap_e
LalaDglu_e	L-alanine-D-glutamate	217.19922	8	2	SBO:0000247	C20957	['CHEBI:61395', 'CHEBI:61566']			META:CPD0-2190	MNXM3630	VYZAGTDAHUIRQA-CRCLSJGQSA-M	cpd15385				EX_LalaDglu_e
R3hdec4e_e	 3 Hydroxy 4Z decenic acid	185.24018	10	0	SBO:0000247												EX_R3hdec4e_e
R_3hhdca_e	 3 Hydroxyhexadecanoic acid	271.41554	16	0	SBO:0000247												EX_R_3hhdca_e
R_3hpba_e	 3 Hydroxyphenylbutanoic acid	179.19254	10	0	SBO:0000247												EX_R_3hpba_e
R_3hppta_e	 3 Hydroxy 5 phenylpentanoic acic	191.20324000000002	11	0	SBO:0000247												EX_R_3hppta_e
R_3hpt_e	 3 Hydroxypentanoic acid	117.12316	5	0	SBO:0000247												EX_R_3hpt_e
R_3httdca_e	 3 Hydroxytetradecanoic acid	243.36238	14	0	SBO:0000247												EX_R_3httdca_e
abt_e	L Arabinitol C5H12O5	152.14578	5	0	SBO:0000247	C00532	['CHEBI:13073', 'CHEBI:18403', 'CHEBI:21234', 'CHEBI:6184']	['HMDB00199', 'HMDB01851']		META:L-ARABITOL	MNXM801	HEBKCHPVOIAQTA-IMJSIDKUSA-N	cpd00417				EX_abt_e
acac_e	Acetoacetate	101.0807	4	0	SBO:0000247	C00164	['CHEBI:131367', 'CHEBI:13705', 'CHEBI:15344', 'CHEBI:22172', 'CHEBI:2391', 'CHEBI:40507']	HMDB00060	LMFA01060003	META:3-KETOBUTYRATE	MNXM154	WDJHALXBUFZDSR-UHFFFAOYSA-M	cpd00142	['R-ALL-29666', 'R-ALL-73909']			EX_acac_e
acglu_e	N-Acetyl-L-glutamate	187.15006	7	1	SBO:0000247	C00624	['CHEBI:12575', 'CHEBI:17533', 'CHEBI:21549', 'CHEBI:21552', 'CHEBI:44335', 'CHEBI:44337', 'CHEBI:64040', 'CHEBI:7150', 'CHEBI:87274']			META:ACETYL-GLU	MNXM730	RFMMMVDNIPUKGG-YFKPBYRVSA-L	cpd00477	R-ALL-30471			EX_acglu_e
acnam_e	N-Acetylneuraminate	308.26192000000003	11	1	SBO:0000247	['C00270', 'C19910']	['CHEBI:12471', 'CHEBI:12579', 'CHEBI:17012', 'CHEBI:21617', 'CHEBI:21620', 'CHEBI:29087', 'CHEBI:33987', 'CHEBI:35418', 'CHEBI:45744', 'CHEBI:58705', 'CHEBI:7214']	['HMDB00230', 'HMDB00800']		['META:CPD0-1123', 'META:N-ACETYLNEURAMINATE']	MNXM227	SQVRNKJHWKZAKO-LUWBGTNYSA-M	['cpd00232', 'cpd21149', 'cpd27569']				EX_acnam_e
ad_e	Acetamide	59.0672	2	1	SBO:0000247	C06244	['CHEBI:22159', 'CHEBI:2385', 'CHEBI:27856', 'CHEBI:40563', 'CHEBI:49028']	HMDB31645		META:ACETAMIDE	MNXM4428	DLFVBJFMPXGRIB-UHFFFAOYSA-N	cpd03734				EX_ad_e
adn_e	Adenosine	267.24132	10	5	SBO:0000247	C00212	['CHEBI:13734', 'CHEBI:16335', 'CHEBI:22237', 'CHEBI:2472', 'CHEBI:40558', 'CHEBI:40825', 'CHEBI:40906', 'CHEBI:40911']	['HMDB00050', 'HMDB04401', 'HMDB04402', 'HMDB04421']		META:ADENOSINE	MNXM212	OIRDTQYFTABQOQ-KQYNXXCUSA-N	cpd00182	['R-ALL-83908', 'R-ALL-83909', 'R-ALL-8857850']	D00045		EX_adn_e
ala_L_thr__L_e	Ala-L-Thr-L	190.19706	7	2	SBO:0000247												EX_ala_L_thr__L_e
ala__D_e	D-Alanine	89.09318	3	1	SBO:0000247	C00133	['CHEBI:10840', 'CHEBI:12899', 'CHEBI:15570', 'CHEBI:20893', 'CHEBI:32435', 'CHEBI:32436', 'CHEBI:4087', 'CHEBI:41756', 'CHEBI:41798', 'CHEBI:41848', 'CHEBI:41877', 'CHEBI:57416']	HMDB01310		META:D-ALANINE	MNXM156	QNAYBMKLOCPYGJ-UWTATZPHSA-N	cpd00117				EX_ala__D_e
ala_gln_e	Ala-Gln	217.2224	8	3	SBO:0000247												EX_ala_gln_e
ala_his_e	Ala-His	226.23246	9	4	SBO:0000247												EX_ala_his_e
ala_leu_e	Ala-Leu	202.25082	9	2	SBO:0000247												EX_ala_leu_e
alagly_e	L-alanylglycine	146.1445	5	2	SBO:0000247												EX_alagly_e
arab__L_e	L-Arabinose	150.1299	5	0	SBO:0000247	C11476	CHEBI:6182			['META:CPD-15699', 'META:L-ARABINOSE']	MNXM91126	PYMYPHUHKUWMLA-VAYJURFESA-N	['cpd19109', 'cpd27351']				EX_arab__L_e
aso3_e	Arsenite	125.94362	0	0	SBO:0000247	C06697	['CHEBI:13857', 'CHEBI:22635', 'CHEBI:2846', 'CHEBI:29242', 'CHEBI:29243', 'CHEBI:29866', 'CHEBI:49899', 'CHEBI:49900']	HMDB11620		['META:CPD-763', 'META:CPD0-2040']	MNXM658	AQLMHYSWFMLWBS-UHFFFAOYSA-N	['cpd04098', 'cpd26385']	R-ALL-5696216			EX_aso3_e
ch4s_e	Methanethiol CH4S	48.107459999999996	1	0	SBO:0000247	C00409	['CHEBI:14586', 'CHEBI:16007', 'CHEBI:25225', 'CHEBI:6814']	HMDB03227		META:CPD-7671	MNXM652	LSDPWZHWYPCBBB-UHFFFAOYSA-N	cpd00324				EX_ch4s_e
chols_e	Choline sulfate	183.22602	5	1	SBO:0000247	C00919	['CHEBI:13987', 'CHEBI:16822', 'CHEBI:23215', 'CHEBI:3669', 'CHEBI:52859']			META:CPD-543	MNXM1547	WXCQAWGXWVRCGP-UHFFFAOYSA-N	cpd00681				EX_chols_e
chor_e	Chorismate	224.16692	10	0	SBO:0000247	C00251	['CHEBI:13993', 'CHEBI:17333', 'CHEBI:23225', 'CHEBI:23227', 'CHEBI:29748', 'CHEBI:3677']	HMDB12199		META:CHORISMATE	MNXM337	WTFXTQVDAKGDEY-HTQZYQBOSA-L	cpd00216	R-ALL-964856			EX_chor_e
citr__L_e	L-Citrulline	175.18572	6	3	SBO:0000247	C00327	['CHEBI:13092', 'CHEBI:14002', 'CHEBI:16349', 'CHEBI:18211', 'CHEBI:21257', 'CHEBI:3730', 'CHEBI:41489', 'CHEBI:57743', 'CHEBI:6203', 'CHEBI:66922']	HMDB00904		META:L-CITRULLINE	MNXM211	RHGKLRLOHDJJDR-BYPYZUCNSA-N	cpd00274	['R-ALL-113567', 'R-ALL-29968']	D07706		EX_citr__L_e
csn_e	Cytosine	111.102	4	3	SBO:0000247	C00380	['CHEBI:14066', 'CHEBI:16040', 'CHEBI:23531', 'CHEBI:4072', 'CHEBI:41732']	HMDB00630		META:CYTOSINE	MNXM761	OPTASPLRGRRNAP-UHFFFAOYSA-N	cpd00307				EX_csn_e
cyan_e	Hydrogen cyanide	27.02534	1	1	SBO:0000247	['C00177', 'C01326']	['CHEBI:13362', 'CHEBI:14038', 'CHEBI:17514', 'CHEBI:18407', 'CHEBI:36856', 'CHEBI:3969', 'CHEBI:41780', 'CHEBI:5786']	HMDB60292		['META:CPD-13584', 'META:HCN']	MNXM254	LELOWRISYMNNSU-UHFFFAOYSA-N	['cpd00150', 'cpd19012']				EX_cyan_e
cytd_e	Cytidine	243.21662	9	3	SBO:0000247	C00475	['CHEBI:14063', 'CHEBI:17562', 'CHEBI:23515', 'CHEBI:4053', 'CHEBI:41649', 'CHEBI:41686', 'CHEBI:41704', 'CHEBI:41709']	HMDB00089		META:CYTIDINE	MNXM338	UHDGCWIWMRVCDJ-XVFCMESISA-N	cpd00367		D07769		EX_cytd_e
dad_2_e	Deoxyadenosine	251.24192	10	5	SBO:0000247	C00559	['CHEBI:14112', 'CHEBI:17256', 'CHEBI:19234', 'CHEBI:39863', 'CHEBI:40535', 'CHEBI:40560', 'CHEBI:40565', 'CHEBI:4405']	['HMDB00101', 'HMDB05778', 'HMDB11722']		META:DEOXYADENOSINE	MNXM625	OLXZPDWKRNYJJZ-RRKCRQDMSA-N	cpd00438				EX_dad_2_e
dcyt_e	Deoxycytidine	227.21722	9	3	SBO:0000247	C00881	['CHEBI:15698', 'CHEBI:19240', 'CHEBI:41417', 'CHEBI:41430', 'CHEBI:41434', 'CHEBI:41806', 'CHEBI:4407']	HMDB00014		META:DEOXYCYTIDINE	MNXM704	CKTSBUTUHBMZGZ-SHYZEUOFSA-N	cpd00654	R-ALL-500829			EX_dcyt_e
dextrin_e	Dextrin C12H20O10	324.2812	12	0	SBO:0000247		['CHEBI:23651', 'CHEBI:28675', 'CHEBI:4468']	HMDB06857			MNXM49265		cpd11594			G00725	EX_dextrin_e
dgsn_e	Deoxyguanosine	267.24132	10	5	SBO:0000247	C00330	['CHEBI:14116', 'CHEBI:17172', 'CHEBI:19244', 'CHEBI:23624', 'CHEBI:42667', 'CHEBI:42867', 'CHEBI:42874', 'CHEBI:42987', 'CHEBI:4412']	HMDB00085		META:DEOXYGUANOSINE	MNXM647	YKBGVTZYEHREMT-KVQBGUIXSA-N	cpd00277				EX_dgsn_e
din_e	Deoxyinosine	252.22668	10	4	SBO:0000247	C05512	['CHEBI:19248', 'CHEBI:23629', 'CHEBI:28997', 'CHEBI:39841', 'CHEBI:43293', 'CHEBI:43436', 'CHEBI:43437', 'CHEBI:4413']	HMDB00071		META:DEOXYINOSINE	MNXM935	VGONTNSXDCQUGY-RRKCRQDMSA-N	cpd03279				EX_din_e
duri_e	Deoxyuridine	228.20198	9	2	SBO:0000247	C00526	['CHEBI:11398', 'CHEBI:11572', 'CHEBI:14123', 'CHEBI:16450', 'CHEBI:19261', 'CHEBI:23640', 'CHEBI:29113', 'CHEBI:42178', 'CHEBI:4434', 'CHEBI:46165', 'CHEBI:46289', 'CHEBI:46293']	HMDB00012		META:DEOXYURIDINE	MNXM492	MXHRCPNRJAMMIM-SHYZEUOFSA-N	cpd00412	R-ALL-500430			EX_duri_e
fe3dhbzs3_e	2-3-dihydroxybenzoylserine trimer-Fe-III	742.39882	30	3	SBO:0000247						MNXM146250						EX_fe3dhbzs3_e
fol_e	Folate	439.38158000000004	19	7	SBO:0000247	C00504	['CHEBI:24075', 'CHEBI:27470', 'CHEBI:42610', 'CHEBI:5140', 'CHEBI:569217', 'CHEBI:62501']	HMDB00121		META:CPD-12826	MNXM617	OVBPIULPVIDEAO-LBPRGKRZSA-L	cpd00393	['R-ALL-197965', 'R-ALL-200716']	D00070		EX_fol_e
fru_e	D-Fructose	180.15588	6	0	SBO:0000247	['C00095', 'C01496', 'C05003', 'C10906']	['CHEBI:12923', 'CHEBI:15824', 'CHEBI:20929', 'CHEBI:24104', 'CHEBI:24110', 'CHEBI:28757', 'CHEBI:37714', 'CHEBI:37721', 'CHEBI:4118', 'CHEBI:4119', 'CHEBI:47424', 'CHEBI:48095', 'CHEBI:5172']	HMDB62538		['META:CPD-15382', 'META:D-Fructopyranose', 'META:FRU', 'META:Fructofuranose']	MNXM175	RFSUNEUAIZKAJO-VRPWFDPXSA-N	['cpd00082', 'cpd19015', 'cpd27040']	['R-ALL-189049', 'R-ALL-29532']	D00114		EX_fru_e
g3pc_e	Sn-Glycero-3-phosphocholine	257.22126099999997	8	1	SBO:0000247	C00670	['CHEBI:10646', 'CHEBI:12841', 'CHEBI:12847', 'CHEBI:14343', 'CHEBI:16870', 'CHEBI:26697', 'CHEBI:41458', 'CHEBI:55397', 'CHEBI:76433']			META:L-1-GLYCERO-PHOSPHORYLCHOLINE	MNXM367	SUHOQUVVVLNYQR-MRVPVSSYSA-N	cpd00507	R-ALL-1498750	D07349		EX_g3pc_e
g3pi_e	Sn-Glycero-3-phospho-1-inositol	333.206381	9	0	SBO:0000247	C01225	['CHEBI:10645', 'CHEBI:11200', 'CHEBI:18321', 'CHEBI:26695', 'CHEBI:58444', 'CHEBI:64715']	HMDB11649		META:CPD-541	MNXM1517	BMVUIWJCUQSHLZ-UJGXJMNGSA-M	cpd00902	R-ALL-6813734			EX_g3pi_e
g3ps_e	Glycerophosphoserine	258.143081	6	1	SBO:0000247		['CHEBI:61931', 'CHEBI:62013', 'CHEBI:64765', 'CHEBI:64945']			META:CPD0-2030	MNXM97117	ZWZWYGMENQVNFU-UHNVWZDZSA-M	cpd15468				EX_g3ps_e
gal_bD_e	Beta D-Galactose	180.15588	6	0	SBO:0000247	C00962	['CHEBI:10383', 'CHEBI:22774', 'CHEBI:27667', 'CHEBI:42776', 'CHEBI:42889']	HMDB03449		META:GALACTOSE	MNXM112	WQZGKKKJIJFFOK-FPRJBGLDSA-N	cpd00709				EX_gal_bD_e
